account_id,device_id,linked_bank_account,ip_subnet,signup_day,txn_count_first_7d,cluster_type,cluster_id,is_fraud_ring_member
ACCT-002849,DEV-400142,ACC-543453965,99.228.0.0/24,42,0,none,,0
ACCT-001517,DEV-243685,ACC-720011176,177.131.81.0/24,292,2,none,,0
ACCT-002483,DEV-344249,ACC-128645999,84.146.95.0/24,364,3,none,,0
ACCT-000576,DEV-488303,ACC-219030186,150.2.239.0/24,260,0,none,,0
ACCT-001177,DEV-306091,ACC-103024274,208.113.88.0/24,21,4,none,,0
ACCT-002909,DEV-688275,ACC-819827525,109.48.11.0/24,243,1,none,,0
ACCT-002782,DEV-938544,ACC-140392020,43.50.249.0/24,187,2,none,,0
ACCT-001048,DEV-612927,ACC-968449436,195.209.145.0/24,76,2,none,,0
ACCT-000942,DEV-206167,ACC-219377959,169.199.200.0/24,10,1,none,,0
ACCT-000930,DEV-561073,ACC-757206079,46.252.57.0/24,206,4,none,,0
ACCT-002657,DEV-820990,ACC-809450719,197.4.105.0/24,114,2,none,,0
ACCT-000699,DEV-304832,ACC-783465248,123.38.190.0/24,214,2,none,,0
ACCT-001099,DEV-673817,ACC-589848040,9.253.9.0/24,20,1,none,,0
ACCT-000348,DEV-135144,ACC-560282779,15.153.96.0/24,362,1,none,,0
ACCT-002239,DEV-296774,ACC-400089083,163.52.147.0/24,160,4,none,,0
ACCT-000143,DEV-367837,ACC-994886053,105.228.156.0/24,342,1,none,,0
ACCT-002249,DEV-411397,ACC-429523246,190.151.62.0/24,261,2,none,,0
ACCT-000580,DEV-965174,ACC-328501500,110.130.22.0/24,25,0,none,,0
ACCT-002131,DEV-439436,ACC-495348119,141.72.152.0/24,83,2,none,,0
ACCT-002154,DEV-744690,ACC-712737006,51.152.136.0/24,24,4,none,,0
ACCT-000170,DEV-567890,ACC-921072790,112.219.60.0/24,206,3,none,,0
ACCT-001555,DEV-587949,ACC-856574814,168.55.129.0/24,30,3,none,,0
ACCT-002251,DEV-411759,ACC-279100296,148.200.60.0/24,96,0,none,,0
ACCT-001093,DEV-122582,ACC-844386517,213.24.32.0/24,108,0,none,,0
ACCT-000279,DEV-780392,ACC-663189603,139.35.139.0/24,135,3,none,,0
ACCT-001220,DEV-360440,ACC-597072719,174.118.201.0/24,3,2,none,,0
ACCT-001164,DEV-502284,ACC-215536785,80.167.0.0/24,54,5,none,,0
ACCT-000668,DEV-387942,ACC-853651123,191.157.222.0/24,140,2,none,,0
ACCT-002921,DEV-687356,ACC-296221028,164.34.170.0/24,72,1,none,,0
ACCT-001204,DEV-442383,ACC-847844801,150.48.96.0/24,245,1,none,,0
ACCT-000860,DEV-479715,ACC-372294377,62.54.198.0/24,16,1,none,,0
ACCT-001814,DEV-744095,ACC-463336191,52.61.147.0/24,245,4,none,,0
ACCT-002167,DEV-361882,ACC-406290322,98.112.221.0/24,313,4,none,,0
ACCT-000524,DEV-987935,ACC-665253366,202.99.58.0/24,129,1,none,,0
ACCT-000221,DEV-105892,ACC-226216960,153.191.67.0/24,136,0,none,,0
ACCT-003211,DEV-173869,ACC-611621100,108.164.210.0/24,255,5,fraud_ring,RING-004,1
ACCT-001022,DEV-995104,ACC-991899247,82.121.98.0/24,303,4,none,,0
ACCT-001002,DEV-901976,ACC-441498097,82.131.170.0/24,142,0,none,,0
ACCT-000176,DEV-705018,ACC-353214944,124.181.201.0/24,47,0,none,,0
ACCT-001191,DEV-147397,ACC-352058075,64.242.114.0/24,325,2,none,,0
ACCT-001202,DEV-573527,ACC-635583028,130.13.169.0/24,246,2,none,,0
ACCT-001564,DEV-968715,ACC-405674266,218.158.140.0/24,89,3,none,,0
ACCT-003263,DEV-101667,ACC-901690048,219.227.88.0/24,297,6,fraud_ring,RING-009,1
ACCT-002552,DEV-806849,ACC-515984866,51.180.134.0/24,335,2,none,,0
ACCT-002681,DEV-693857,ACC-853306695,25.83.248.0/24,277,1,none,,0
ACCT-000981,DEV-432515,ACC-707277215,86.187.234.0/24,248,1,none,,0
ACCT-000021,DEV-461110,ACC-650288406,91.128.236.0/24,59,3,none,,0
ACCT-001096,DEV-233876,ACC-278452426,73.16.89.0/24,155,4,none,,0
ACCT-001129,DEV-117430,ACC-594303676,199.235.169.0/24,311,1,none,,0
ACCT-002684,DEV-351188,ACC-887503649,209.32.124.0/24,353,3,none,,0
ACCT-002215,DEV-203692,ACC-275204199,205.161.238.0/24,203,2,none,,0
ACCT-002441,DEV-457189,ACC-872794170,120.152.115.0/24,276,1,none,,0
ACCT-001705,DEV-893988,ACC-305079857,42.175.29.0/24,360,1,none,,0
ACCT-000048,DEV-983823,ACC-285191489,223.230.186.0/24,180,0,none,,0
ACCT-003227,DEV-657861,ACC-369883763,117.126.164.0/24,283,8,fraud_ring,RING-005,1
ACCT-001374,DEV-659316,ACC-932979470,130.72.254.0/24,19,3,none,,0
ACCT-000326,DEV-786887,ACC-309032684,194.16.0.0/24,51,4,none,,0
ACCT-002543,DEV-952639,ACC-559358626,58.184.197.0/24,20,3,none,,0
ACCT-001603,DEV-974891,ACC-276733556,166.156.146.0/24,123,2,none,,0
ACCT-002051,DEV-938064,ACC-584715041,69.117.235.0/24,345,0,none,,0
ACCT-002172,DEV-653037,ACC-942206643,64.185.143.0/24,359,3,none,,0
ACCT-000690,DEV-790548,ACC-628636958,95.7.22.0/24,308,3,none,,0
ACCT-003299,DEV-338356,ACC-479626132,146.69.255.0/24,22,10,fraud_ring,RING-013,1
ACCT-001981,DEV-596499,ACC-995401849,126.12.77.0/24,317,0,none,,0
ACCT-000233,DEV-957713,ACC-922390325,37.184.8.0/24,61,0,none,,0
ACCT-003173,DEV-201330,ACC-981658317,191.30.223.0/24,30,1,legit_shared_device,LEGIT-055,0
ACCT-002323,DEV-504008,ACC-872051135,183.6.77.0/24,225,2,none,,0
ACCT-000407,DEV-486013,ACC-589678428,5.16.62.0/24,250,3,none,,0
ACCT-001671,DEV-637118,ACC-708804441,208.92.22.0/24,4,2,none,,0
ACCT-001377,DEV-499892,ACC-762551157,26.49.54.0/24,286,2,none,,0
ACCT-003252,DEV-764895,ACC-515523109,59.172.54.0/24,306,8,fraud_ring,RING-008,1
ACCT-000676,DEV-549817,ACC-770405237,130.175.28.0/24,79,2,none,,0
ACCT-000147,DEV-191036,ACC-681900510,42.38.109.0/24,230,0,none,,0
ACCT-001229,DEV-335592,ACC-131021612,92.193.60.0/24,282,1,none,,0
ACCT-001620,DEV-671260,ACC-264735863,170.174.154.0/24,297,1,none,,0
ACCT-001812,DEV-419880,ACC-627260468,67.206.94.0/24,226,2,none,,0
ACCT-000285,DEV-469870,ACC-184951242,164.217.224.0/24,312,4,none,,0
ACCT-002564,DEV-569076,ACC-331960824,66.82.254.0/24,16,1,none,,0
ACCT-000558,DEV-332060,ACC-491019132,145.237.107.0/24,75,1,none,,0
ACCT-001301,DEV-501137,ACC-694892296,24.88.4.0/24,228,0,none,,0
ACCT-001005,DEV-822453,ACC-801399058,69.166.39.0/24,228,3,none,,0
ACCT-000792,DEV-565418,ACC-132444198,36.62.179.0/24,189,3,none,,0
ACCT-002273,DEV-765022,ACC-111154878,76.141.177.0/24,271,0,none,,0
ACCT-000768,DEV-633878,ACC-114400721,68.3.62.0/24,331,0,none,,0
ACCT-001479,DEV-107946,ACC-214639275,98.231.104.0/24,252,2,none,,0
ACCT-001775,DEV-234931,ACC-373518450,13.14.65.0/24,134,3,none,,0
ACCT-000888,DEV-790836,ACC-493345763,171.15.105.0/24,285,1,none,,0
ACCT-003089,DEV-159528,ACC-344428012,137.129.240.0/24,147,1,legit_shared_device,LEGIT-028,0
ACCT-003244,DEV-122574,ACC-373483144,212.61.6.0/24,233,4,fraud_ring,RING-007,1
ACCT-002931,DEV-777245,ACC-162727071,68.134.174.0/24,310,2,none,,0
ACCT-001073,DEV-103754,ACC-806986993,188.166.161.0/24,255,1,none,,0
ACCT-000395,DEV-758114,ACC-223820867,100.205.230.0/24,160,1,none,,0
ACCT-001458,DEV-346635,ACC-961892582,77.151.27.0/24,144,3,none,,0
ACCT-002698,DEV-733735,ACC-471213478,187.69.93.0/24,315,2,none,,0
ACCT-000734,DEV-155397,ACC-133441941,196.236.129.0/24,233,2,none,,0
ACCT-000465,DEV-209347,ACC-775394155,144.245.129.0/24,21,1,none,,0
ACCT-000571,DEV-379850,ACC-159983015,220.225.116.0/24,336,2,none,,0
ACCT-002332,DEV-582422,ACC-138902247,76.82.134.0/24,176,3,none,,0
ACCT-003100,DEV-973916,ACC-677546628,69.9.151.0/24,202,2,legit_shared_device,LEGIT-031,0
ACCT-000001,DEV-753159,ACC-374281998,190.183.14.0/24,244,2,none,,0
ACCT-003277,DEV-373293,ACC-813075934,78.23.196.0/24,320,4,fraud_ring,RING-011,1
ACCT-002953,DEV-623760,ACC-293781860,67.214.28.0/24,164,3,none,,0
ACCT-001184,DEV-837055,ACC-210764364,76.30.244.0/24,328,1,none,,0
ACCT-002444,DEV-973919,ACC-851875417,67.36.228.0/24,257,0,none,,0
ACCT-001416,DEV-195758,ACC-131286218,34.219.86.0/24,182,2,none,,0
ACCT-000595,DEV-117865,ACC-575463217,128.33.169.0/24,160,0,none,,0
ACCT-001063,DEV-726465,ACC-539652205,192.19.174.0/24,239,0,none,,0
ACCT-003157,DEV-630252,ACC-623137420,220.229.138.0/24,171,6,legit_shared_device,LEGIT-050,0
ACCT-000681,DEV-797815,ACC-559802688,51.101.246.0/24,81,5,none,,0
ACCT-000298,DEV-999459,ACC-453596158,25.159.32.0/24,253,2,none,,0
ACCT-000564,DEV-662914,ACC-214168628,177.161.134.0/24,307,3,none,,0
ACCT-000834,DEV-117866,ACC-881695496,206.120.239.0/24,210,2,none,,0
ACCT-002044,DEV-855400,ACC-557991988,92.246.134.0/24,37,5,none,,0
ACCT-003291,DEV-338356,ACC-146239863,212.101.200.0/24,21,6,fraud_ring,RING-013,1
ACCT-000856,DEV-201959,ACC-801009028,191.228.12.0/24,343,1,none,,0
ACCT-000164,DEV-399390,ACC-136545584,17.14.14.0/24,6,0,none,,0
ACCT-003201,DEV-959990,ACC-456006754,43.141.192.0/24,196,7,fraud_ring,RING-002,1
ACCT-001349,DEV-638331,ACC-649512548,29.27.168.0/24,51,1,none,,0
ACCT-000232,DEV-574446,ACC-482004546,34.42.2.0/24,128,7,none,,0
ACCT-002315,DEV-470919,ACC-675028320,61.17.172.0/24,357,2,none,,0
ACCT-002158,DEV-266519,ACC-652390940,133.95.184.0/24,230,2,none,,0
ACCT-001444,DEV-987604,ACC-991248495,208.80.177.0/24,62,0,none,,0
ACCT-000231,DEV-667656,ACC-514772129,220.125.47.0/24,137,1,none,,0
ACCT-003248,DEV-764895,ACC-617978088,55.237.179.0/24,306,8,fraud_ring,RING-008,1
ACCT-001713,DEV-233903,ACC-113424500,138.16.14.0/24,263,2,none,,0
ACCT-001267,DEV-685738,ACC-487998860,11.113.170.0/24,51,1,none,,0
ACCT-000721,DEV-489599,ACC-294532348,181.142.131.0/24,317,3,none,,0
ACCT-002973,DEV-195704,ACC-971414930,112.36.214.0/24,70,0,none,,0
ACCT-002513,DEV-859199,ACC-380609260,17.96.115.0/24,346,2,none,,0
ACCT-002452,DEV-348812,ACC-423170204,91.94.122.0/24,309,4,none,,0
ACCT-002002,DEV-141570,ACC-420297955,170.178.173.0/24,147,1,none,,0
ACCT-002199,DEV-185167,ACC-710073129,116.199.46.0/24,291,1,none,,0
ACCT-002310,DEV-773117,ACC-192814077,72.79.165.0/24,127,1,none,,0
ACCT-003287,DEV-899943,ACC-493526354,187.35.22.0/24,301,14,fraud_ring,RING-012,1
ACCT-000448,DEV-604545,ACC-626806825,114.122.121.0/24,355,2,none,,0
ACCT-003059,DEV-170802,ACC-439406411,121.64.247.0/24,60,2,legit_shared_device,LEGIT-018,0
ACCT-000481,DEV-226810,ACC-763140440,104.211.5.0/24,42,2,none,,0
ACCT-002978,DEV-297904,ACC-924836800,220.147.234.0/24,245,3,none,,0
ACCT-002033,DEV-389922,ACC-491615510,214.202.247.0/24,341,1,none,,0
ACCT-002089,DEV-975862,ACC-533877397,10.93.37.0/24,359,1,none,,0
ACCT-003161,DEV-605989,ACC-134375956,70.201.100.0/24,18,6,legit_shared_device,LEGIT-052,0
ACCT-002706,DEV-326679,ACC-919866000,215.181.134.0/24,229,3,none,,0
ACCT-001068,DEV-536741,ACC-890143637,65.40.245.0/24,298,1,none,,0
ACCT-001667,DEV-846599,ACC-253732190,38.184.16.0/24,24,3,none,,0
ACCT-000967,DEV-977270,ACC-791900353,204.17.57.0/24,207,3,none,,0
ACCT-002598,DEV-450280,ACC-319673560,176.123.194.0/24,154,3,none,,0
ACCT-000936,DEV-630105,ACC-704149348,47.111.210.0/24,343,1,none,,0
ACCT-002983,DEV-187254,ACC-920379455,172.78.16.0/24,126,1,none,,0
ACCT-001570,DEV-820421,ACC-804677998,165.163.149.0/24,68,2,none,,0
ACCT-002497,DEV-612300,ACC-479409590,50.187.45.0/24,120,1,none,,0
ACCT-000322,DEV-901276,ACC-125477096,87.246.250.0/24,309,0,none,,0
ACCT-002307,DEV-782748,ACC-118124449,100.202.205.0/24,74,4,none,,0
ACCT-002351,DEV-781014,ACC-955807487,82.154.181.0/24,93,1,none,,0
ACCT-002016,DEV-768328,ACC-319267205,11.155.104.0/24,191,3,none,,0
ACCT-000642,DEV-527302,ACC-143884385,208.142.49.0/24,69,2,none,,0
ACCT-001196,DEV-698668,ACC-347712951,12.205.53.0/24,306,3,none,,0
ACCT-003322,DEV-371194,ACC-923507893,53.91.247.0/24,268,9,fraud_ring,RING-017,1
ACCT-002265,DEV-106895,ACC-371689829,187.135.116.0/24,84,2,none,,0
ACCT-000651,DEV-998016,ACC-732582927,208.72.156.0/24,10,1,none,,0
ACCT-001845,DEV-722184,ACC-706178900,84.216.132.0/24,136,0,none,,0
ACCT-002466,DEV-386906,ACC-427891657,208.91.10.0/24,310,1,none,,0
ACCT-000184,DEV-600328,ACC-833262100,121.46.101.0/24,204,3,none,,0
ACCT-001148,DEV-645856,ACC-251583371,163.152.133.0/24,304,1,none,,0
ACCT-002209,DEV-553218,ACC-175877317,125.202.114.0/24,130,1,none,,0
ACCT-002115,DEV-868882,ACC-428449722,146.179.121.0/24,24,5,none,,0
ACCT-002933,DEV-644458,ACC-746065882,23.50.165.0/24,17,4,none,,0
ACCT-001350,DEV-953725,ACC-382544295,123.190.213.0/24,165,1,none,,0
ACCT-002517,DEV-972889,ACC-760894469,109.133.198.0/24,350,2,none,,0
ACCT-003305,DEV-336865,ACC-498102442,220.22.37.0/24,124,5,fraud_ring,RING-014,1
ACCT-000890,DEV-359563,ACC-216338777,53.40.250.0/24,345,2,none,,0
ACCT-001407,DEV-736997,ACC-678056708,85.71.165.0/24,206,3,none,,0
ACCT-001558,DEV-276495,ACC-706096858,49.244.10.0/24,41,3,none,,0
ACCT-002263,DEV-250251,ACC-346020252,14.13.126.0/24,228,1,none,,0
ACCT-002246,DEV-522290,ACC-154178145,56.205.172.0/24,348,3,none,,0
ACCT-001654,DEV-957246,ACC-924423194,195.197.45.0/24,143,4,none,,0
ACCT-002890,DEV-219792,ACC-929777053,65.57.222.0/24,202,1,none,,0
ACCT-001168,DEV-757821,ACC-957409695,43.145.125.0/24,44,1,none,,0
ACCT-000682,DEV-368716,ACC-449505460,116.245.210.0/24,193,4,none,,0
ACCT-000908,DEV-660740,ACC-442807755,86.253.79.0/24,78,1,none,,0
ACCT-001315,DEV-820462,ACC-303937500,157.173.10.0/24,251,1,none,,0
ACCT-001263,DEV-583871,ACC-297990413,50.185.239.0/24,212,1,none,,0
ACCT-003321,DEV-665925,ACC-566026297,205.218.201.0/24,147,4,fraud_ring,RING-016,1
ACCT-001631,DEV-532818,ACC-589081262,50.219.28.0/24,153,1,none,,0
ACCT-001090,DEV-558411,ACC-853143591,38.58.167.0/24,35,2,none,,0
ACCT-000479,DEV-649067,ACC-306201922,173.242.187.0/24,233,2,none,,0
ACCT-002780,DEV-904088,ACC-150427402,46.206.47.0/24,171,7,none,,0
ACCT-001674,DEV-872838,ACC-235922374,116.184.237.0/24,77,2,none,,0
ACCT-001988,DEV-951822,ACC-763870537,111.120.130.0/24,357,0,none,,0
ACCT-000171,DEV-449684,ACC-440456522,115.116.236.0/24,45,3,none,,0
ACCT-003162,DEV-605989,ACC-659827866,52.150.249.0/24,18,7,legit_shared_device,LEGIT-052,0
ACCT-000010,DEV-290493,ACC-841571141,51.196.152.0/24,247,1,none,,0
ACCT-000243,DEV-541885,ACC-304704771,70.71.240.0/24,28,3,none,,0
ACCT-002178,DEV-456961,ACC-154399625,218.44.104.0/24,126,2,none,,0
ACCT-001016,DEV-570496,ACC-926730628,218.82.14.0/24,312,2,none,,0
ACCT-000357,DEV-764028,ACC-201691181,182.221.185.0/24,58,1,none,,0
ACCT-001497,DEV-668626,ACC-627363591,141.182.173.0/24,214,0,none,,0
ACCT-000920,DEV-774289,ACC-457940734,107.173.247.0/24,81,1,none,,0
ACCT-000696,DEV-723251,ACC-787382253,181.19.13.0/24,266,1,none,,0
ACCT-002638,DEV-440383,ACC-226599428,169.51.83.0/24,155,4,none,,0
ACCT-001860,DEV-908936,ACC-617466009,130.122.88.0/24,8,1,none,,0
ACCT-001612,DEV-194215,ACC-810464036,148.52.129.0/24,146,2,none,,0
ACCT-002380,DEV-508120,ACC-830096275,121.67.82.0/24,204,2,none,,0
ACCT-000547,DEV-739449,ACC-444665879,33.76.6.0/24,220,4,none,,0
ACCT-000798,DEV-964962,ACC-202130462,162.233.23.0/24,131,3,none,,0
ACCT-002258,DEV-100179,ACC-173585668,7.116.230.0/24,356,0,none,,0
ACCT-000379,DEV-440800,ACC-205550806,213.254.167.0/24,198,3,none,,0
ACCT-001625,DEV-754251,ACC-465373867,220.77.35.0/24,339,0,none,,0
ACCT-000654,DEV-616069,ACC-963740269,117.29.137.0/24,162,1,none,,0
ACCT-001806,DEV-845219,ACC-462646542,197.29.145.0/24,113,2,none,,0
ACCT-000875,DEV-517495,ACC-935269801,155.226.33.0/24,157,0,none,,0
ACCT-001920,DEV-719753,ACC-850218910,119.191.247.0/24,336,2,none,,0
ACCT-001534,DEV-379059,ACC-543727556,21.63.238.0/24,275,2,none,,0
ACCT-001911,DEV-594470,ACC-287461949,109.3.113.0/24,20,2,none,,0
ACCT-001772,DEV-270353,ACC-864915083,180.130.174.0/24,70,0,none,,0
ACCT-001799,DEV-558025,ACC-219906667,81.36.148.0/24,295,3,none,,0
ACCT-001828,DEV-794353,ACC-738435809,4.155.44.0/24,325,2,none,,0
ACCT-000007,DEV-747942,ACC-762984594,114.64.67.0/24,241,2,none,,0
ACCT-002669,DEV-749114,ACC-893598929,6.81.75.0/24,82,2,none,,0
ACCT-001476,DEV-807322,ACC-966999895,10.34.73.0/24,17,4,none,,0
ACCT-000080,DEV-616176,ACC-752875387,122.60.8.0/24,191,2,none,,0
ACCT-003124,DEV-467812,ACC-109426839,93.190.206.0/24,349,2,legit_shared_device,LEGIT-040,0
ACCT-001900,DEV-424817,ACC-839907962,199.139.242.0/24,181,0,none,,0
ACCT-000296,DEV-914147,ACC-683124579,99.88.171.0/24,60,5,none,,0
ACCT-003253,DEV-202114,ACC-901690048,221.109.9.0/24,297,5,fraud_ring,RING-009,1
ACCT-000339,DEV-922695,ACC-836738945,187.31.133.0/24,85,2,none,,0
ACCT-002730,DEV-606422,ACC-171550958,67.80.24.0/24,133,0,none,,0
ACCT-000427,DEV-560499,ACC-775535941,79.130.40.0/24,180,5,none,,0
ACCT-002879,DEV-297665,ACC-508372896,28.58.61.0/24,221,0,none,,0
ACCT-003096,DEV-498312,ACC-701657982,200.53.201.0/24,322,8,legit_shared_device,LEGIT-030,0
ACCT-000087,DEV-598828,ACC-520762576,175.100.151.0/24,269,1,none,,0
ACCT-000433,DEV-303402,ACC-579033463,141.99.52.0/24,304,3,none,,0
ACCT-001091,DEV-571431,ACC-112439102,10.111.111.0/24,199,1,none,,0
ACCT-001436,DEV-849244,ACC-244021595,119.124.9.0/24,240,4,none,,0
ACCT-001535,DEV-949311,ACC-670446319,181.23.110.0/24,119,0,none,,0
ACCT-002346,DEV-178848,ACC-326043667,134.97.223.0/24,207,2,none,,0
ACCT-000948,DEV-417934,ACC-406832908,75.211.65.0/24,264,1,none,,0
ACCT-001394,DEV-840999,ACC-539722133,172.149.174.0/24,364,2,none,,0
ACCT-000166,DEV-370708,ACC-757131862,5.118.219.0/24,4,0,none,,0
ACCT-001334,DEV-221865,ACC-301688238,55.229.178.0/24,216,8,none,,0
ACCT-003087,DEV-933865,ACC-708247354,127.81.225.0/24,272,2,legit_shared_device,LEGIT-027,0
ACCT-001158,DEV-434453,ACC-989472796,68.56.62.0/24,180,4,none,,0
ACCT-000984,DEV-572375,ACC-808017429,88.182.166.0/24,45,1,none,,0
ACCT-002319,DEV-246171,ACC-258743313,44.125.94.0/24,308,3,none,,0
ACCT-002196,DEV-154021,ACC-851257573,117.67.15.0/24,253,3,none,,0
ACCT-003031,DEV-652908,ACC-491778576,91.249.42.0/24,195,0,legit_shared_device,LEGIT-008,0
ACCT-000691,DEV-232502,ACC-399471310,118.205.50.0/24,235,1,none,,0
ACCT-001600,DEV-321534,ACC-262514226,216.105.231.0/24,2,2,none,,0
ACCT-002367,DEV-901938,ACC-428467909,212.195.182.0/24,2,5,none,,0
ACCT-000413,DEV-904386,ACC-427193269,121.118.28.0/24,206,0,none,,0
ACCT-000820,DEV-448562,ACC-975094720,158.171.161.0/24,253,2,none,,0
ACCT-001731,DEV-273613,ACC-857404073,82.221.211.0/24,72,0,none,,0
ACCT-000518,DEV-398576,ACC-806045655,102.241.121.0/24,5,1,none,,0
ACCT-001423,DEV-421184,ACC-610532910,22.31.246.0/24,258,4,none,,0
ACCT-001714,DEV-801435,ACC-272478111,56.172.103.0/24,53,2,none,,0
ACCT-001849,DEV-150522,ACC-609207013,221.74.19.0/24,38,0,none,,0
ACCT-001819,DEV-702052,ACC-256407022,216.7.204.0/24,337,4,none,,0
ACCT-001097,DEV-151889,ACC-553069824,131.41.210.0/24,19,2,none,,0
ACCT-003279,DEV-373293,ACC-462371790,35.179.79.0/24,319,1,fraud_ring,RING-011,1
ACCT-002408,DEV-672706,ACC-782839243,189.7.147.0/24,337,1,none,,0
ACCT-003324,DEV-371194,ACC-923507893,216.250.107.0/24,268,7,fraud_ring,RING-017,1
ACCT-002611,DEV-678278,ACC-839854643,205.178.251.0/24,114,1,none,,0
ACCT-003110,DEV-198383,ACC-244515544,219.118.194.0/24,323,3,legit_shared_device,LEGIT-035,0
ACCT-000330,DEV-267047,ACC-719465873,127.0.247.0/24,273,2,none,,0
ACCT-001965,DEV-390368,ACC-957041466,69.146.216.0/24,315,2,none,,0
ACCT-002930,DEV-146004,ACC-746059264,55.192.246.0/24,98,3,none,,0
ACCT-003241,DEV-122574,ACC-373483144,132.191.118.0/24,233,6,fraud_ring,RING-007,1
ACCT-000884,DEV-119984,ACC-793699205,29.181.221.0/24,358,3,none,,0
ACCT-000937,DEV-224088,ACC-550339962,179.170.180.0/24,127,2,none,,0
ACCT-000165,DEV-227572,ACC-154364157,34.182.223.0/24,166,2,none,,0
ACCT-002901,DEV-167548,ACC-141639250,44.47.196.0/24,229,0,none,,0
ACCT-002900,DEV-294902,ACC-139450078,86.255.184.0/24,247,2,none,,0
ACCT-002956,DEV-249056,ACC-782272547,38.200.133.0/24,295,3,none,,0
ACCT-002859,DEV-733314,ACC-337444519,16.52.6.0/24,20,2,none,,0
ACCT-001719,DEV-957647,ACC-647887298,115.99.102.0/24,281,6,none,,0
ACCT-001432,DEV-591399,ACC-123118928,47.193.102.0/24,147,1,none,,0
ACCT-001624,DEV-599462,ACC-274262977,147.127.69.0/24,179,3,none,,0
ACCT-001958,DEV-575993,ACC-374877468,109.121.37.0/24,282,1,none,,0
ACCT-000946,DEV-799458,ACC-510160515,51.50.190.0/24,259,3,none,,0
ACCT-001074,DEV-960843,ACC-547001330,4.158.155.0/24,314,1,none,,0
ACCT-002775,DEV-409080,ACC-968734476,47.7.225.0/24,53,2,none,,0
ACCT-003060,DEV-170802,ACC-620004752,170.155.222.0/24,58,0,legit_shared_device,LEGIT-018,0
ACCT-001040,DEV-232224,ACC-293918833,181.174.136.0/24,234,1,none,,0
ACCT-000228,DEV-152842,ACC-336589404,108.121.138.0/24,10,1,none,,0
ACCT-002465,DEV-295391,ACC-642315199,117.24.167.0/24,238,1,none,,0
ACCT-002074,DEV-374128,ACC-589569181,44.47.196.0/24,316,3,none,,0
ACCT-001192,DEV-579530,ACC-590733718,164.98.46.0/24,323,0,none,,0
ACCT-000515,DEV-245284,ACC-749828589,214.247.147.0/24,215,1,none,,0
ACCT-001897,DEV-686665,ACC-623127728,117.19.241.0/24,255,1,none,,0
ACCT-002675,DEV-983427,ACC-565296104,167.161.154.0/24,321,4,none,,0
ACCT-003262,DEV-101667,ACC-150430303,188.165.232.0/24,296,10,fraud_ring,RING-009,1
ACCT-002177,DEV-370083,ACC-442794720,109.100.116.0/24,164,3,none,,0
ACCT-003258,DEV-101667,ACC-536731822,42.92.173.0/24,297,10,fraud_ring,RING-009,1
ACCT-000735,DEV-913354,ACC-176388688,187.251.67.0/24,138,1,none,,0
ACCT-000454,DEV-562533,ACC-297219546,31.10.170.0/24,12,5,none,,0
